Date,COST,PYPL,EBAY,DIS,ATVI,AMZN,COST Pos,PYPL Pos,EBAY Pos,DIS Pos,ATVI Pos,AMZN Pos,Total Pos,Daily return,Cumulative return
04/01/16,139.9518794,34.75,24.92072106,97.15607203,35.98133169,31.77297549,1666.6666666666665,1666.6666666666665,1666.6666666666665,1666.6666666666665,1666.6666666666665,1666.6666666666665,9999.999999999998,,0.0
05/01/16,140.2939957,34.31,24.62842354,95.19370429,35.52223974,31.61335992,1670.7408801447411,1645.5635491606715,1647.1181739821882,1633.0031721298546,1645.4013823077598,1658.293955395614,9900.12111312083,-0.00998788868791689,-0.00998788868791689
06/01/16,138.9957082,33.98,24.90186316,94.68424344,35.18748519,31.55649688,1655.2797622999742,1629.7362110311747,1665.4054738922816,1624.263611143852,1629.8954456513056,1655.3111773626545,9859.891681381243,-0.004063529251805753,-0.014010831861875572
07/01/16,135.8113951,33.13,24.22297859,93.87287985,34.69013558,30.3239654,1617.3582386823357,1588.968824940048,1620.002522645038,1610.3450508135984,1606.8580543782907,1590.6581474951854,9634.190838954497,-0.022890803440867802,-0.036580916104550165
08/01/16,133.4341255,32.69,24.2795523,93.63701834,34.1545283,30.27957232,1589.0476792458612,1567.8657074340524,1623.7861016369802,1606.298957672397,1582.0485557279644,1588.329487194234,9557.376488911488,-0.007973098242191834,-0.04426235110885102
11/01/16,135.723673,33.04,24.60956564,94.26912718,34.63274909,30.81278808,1616.3135688956431,1584.652278177458,1645.856981207803,1617.1424871741663,1604.1998940071285,1616.2995755988604,9684.46478506106,0.013297403978698608,-0.03155352149389379
12/01/16,136.8947633,33.08,24.71328411,95.72203407,35.50311091,30.82027006,1630.2599137038335,1586.5707434052756,1652.793542804495,1642.0664207249752,1644.5153288507056,1616.6920464478872,9772.897995937172,0.009131450507469108,-0.022710200406282688
13/01/16,133.4428977,32.12,23.95896792,92.9105649,33.34155297,29.02060452,1589.152146105442,1540.5275779376498,1602.345819122137,1593.836990982765,1544.3912812555493,1522.2897274831214,9392.543542886664,-0.0389193106495771,-0.06074564571133345
14/01/16,134.3727522,32.87,24.38327078,93.5049359,33.85803142,29.57876021,1600.2256487025068,1576.4988009592323,1630.7226639024595,1604.0331456093895,1568.3147264488218,1551.5680518763188,9531.363037498728,0.014779755236503211,-0.046863696250126985
15/01/16,131.9253049,32.31,23.81753364,88.58958209,33.38937505,28.44050168,1571.0793531985012,1549.640287769784,1592.886871307888,1519.7125655485736,1546.606415129786,1491.860154811498,9271.78564776603,-0.027234026100092623,-0.0728214352233969
19/01/16,131.9954826,32.2,24.29841021,88.65562331,33.61892103,28.6549851,1571.9150892660325,1544.3645083932854,1625.0472950801525,1520.8454715800774,1557.2390575408413,1503.1109854672286,9322.522407327617,0.005472167011735474,-0.0677477592672382
20/01/16,130.5480675,31.2,24.34555497,87.30649549,33.19808674,28.51981067,1554.6780324266226,1496.4028776978414,1628.2002776849022,1497.7018191074624,1537.7458800960424,1496.0203459160925,9210.749232928963,-0.011989584955118815,-0.07892507670710347
21/01/16,131.9165327,31.2,24.60013668,88.70279561,33.0546205,28.68192023,1570.9748863389207,1496.4028776978414,1645.2263841518231,1521.6546901740087,1531.100478473332,1504.5238806286357,9269.883197464562,0.006420103624598772,-0.07301168025354365
22/01/16,134.8201351,31.69,24.92072106,91.41992018,34.35538103,29.74735416,1605.5534668773203,1519.904076738609,1666.6666666666665,1568.2656827283565,1591.3521177218365,1560.4117283760256,9512.153739108815,0.026135231316670504,-0.04878462608911838
25/01/16,132.2674212,31.47,24.64256697,89.90097207,33.21721557,29.75483614,1575.1535666765758,1509.3525179856115,1648.0640688973706,1542.2088431460436,1538.6319335530964,1560.8041992250521,9374.21512948375,-0.014501301535732813,-0.06257848705162483
26/01/16,130.2673567,31.97,25.12815802,90.82554918,33.76238726,29.9902691,1551.3350881564984,1533.333333333333,1680.5397911976252,1558.069528101732,1563.884458700348,1573.1539480482359,9460.316147537771,0.009184877545984405,-0.053968385246222716
27/01/16,129.5918964,31.59,24.91129211,88.98582942,32.58596414,29.09741951,1543.2911292508159,1515.1079136690646,1666.0360702794742,1526.5100019091415,1509.3921676174998,1526.3190946216705,9286.656377347666,-0.01835665610766113,-0.07133436226523315
28/01/16,131.2235279,34.24,21.80916679,88.24050706,32.3181605,31.69117251,1562.7219925231907,1642.2062350119904,1458.5698073965225,1513.724347781937,1496.9874182923363,1662.3756521205812,9336.585453126558,0.005376431920177449,-0.06634145468734409
29/01/16,132.5656764,36.14,22.12032222,90.40099847,33.30329531,29.27948102,1578.7054446658613,1733.3333333333333,1479.379493524173,1550.7865605848053,1542.6191743414413,1535.8692184398033,9420.693224889417,0.009008408072213925,-0.05793067751105807
01/02/16,132.6797152,37.08,22.57291193,89.76888963,33.15982908,28.67144546,1580.0635162221813,1778.41726618705,1509.6481274660728,1539.9430310830362,1535.9737731819341,1503.9744215449093,9448.020135685183,0.0029007324772627463,-0.05519798643148155
02/02/16,130.2673567,36.83,21.96003003,87.85369419,31.96427712,27.53867371,1551.3350881564984,1766.426858513189,1468.6593522667515,1507.0887551401554,1480.5954281788283,1444.5543361562786,9218.659818411701,-0.024276019100254453,-0.0781340181588297
03/02/16,128.6883585,37.01,22.15803803,89.75945517,31.67734465,26.48970014,1532.531027232493,1775.059952038369,1481.9018797417305,1539.7811873642497,1467.304625396611,1389.5299244865696,9186.108596260023,-0.0035310145718433494,-0.08138914037399758
04/02/16,125.6882618,37.17,22.14860907,90.03305451,30.5487436,26.74857665,1496.80331004782,1782.7338129496402,1481.2712826857503,1544.474655209051,1415.0274677247965,1403.1094159678066,9123.419944584864,-0.006824288110493404,-0.08765800554151337
05/02/16,126.3110889,35.07,21.87516946,88.58958209,29.20016099,25.04617684,1504.2204677960187,1682.0143884892086,1462.9839834444444,1519.7125655485736,1352.560694602055,1313.8092175158338,8835.301317396135,-0.031580112385349524,-0.1164698682603863
08/02/16,128.9690693,33.61,21.19628489,86.91024816,27.46900176,24.34636233,1535.8739715026172,1611.9904076738608,1417.5810321972012,1490.9043827468945,1272.372851411826,1277.1001117843368,8605.822757316737,-0.025972918391313993,-0.1394177242683261
09/02/16,129.7761128,32.7,20.75312413,87.09893737,27.5550815,24.04558674,1545.4849356837813,1568.3453237410072,1387.9429946424937,1494.141257294165,1276.360092200171,1261.3227839681942,8533.597387529813,-0.008392616467207237,-0.14664026124701857
10/02/16,130.2234957,32.9,21.04542165,83.82517965,28.8367132,24.46507641,1550.8127538585952,1577.9376498800957,1407.4914873269722,1437.981485159883,1335.7256779916215,1283.327315782347,8593.276369999516,0.006993414354995453,-0.14067236300004826
11/02/16,128.9920678,33.52,20.81912679,85.20261085,29.19059658,25.13047381,1536.147857308922,1607.673860911271,1392.3571700216282,1461.6106687888569,1352.1176681051295,1318.2310555034096,8668.138280639218,0.008711684276914156,-0.13318617193607807
12/02/16,130.7512505,34.3,21.20571384,85.99510551,26.89513682,25.29308217,1557.0977093526142,1645.0839328537168,1418.2116285843936,1475.2055415099924,1245.7912458473916,1326.7607550091618,8668.15081315727,1.4458142736373247e-06,-0.13318491868427285
16/02/16,131.1558625,35.46,21.63944565,87.65557052,28.13851086,25.99239789,1561.9161750725777,1700.7194244604316,1447.2190697519084,1503.690036874099,1303.384724724734,1363.4436964720044,8880.373127355755,0.02448299744350968,-0.11196268726442438
17/02/16,132.7391269,36.36,21.89402736,90.09909574,28.1672041,26.64083614,1580.7710415546348,1743.8848920863309,1464.2451762188293,1545.6075614121,1304.7138046787136,1397.4578358467322,9036.68031179734,0.017601420818690983,-0.09633196882026585
18/02/16,130.7512505,36.31,22.18632488,89.78775855,27.62203241,26.18692936,1557.0977093526142,1741.4868105515586,1483.7936689033077,1540.2667185206087,1279.4612795314617,1373.6479380221454,8975.754124881696,-0.006742098294227006,-0.10242458751183026
19/02/16,130.79523,35.76,22.45033555,89.63680718,28.87497086,26.68074003,1557.621454849859,1715.1079136690644,1501.4503724262086,1537.6772188484833,1337.4977849057295,1399.5510135333566,9048.9057582327,0.008149915019198373,-0.09510942417672974
22/02/16,131.9914742,36.0,22.8557805,90.91989378,30.14703814,27.90778472,1571.8673538108508,1726.618705035971,1528.5660237633588,1559.6879652895943,1396.4203437370516,1463.9162312000803,9247.076622836907,0.021899981047311723,-0.07529233771630917
23/02/16,132.2553516,35.48,22.27118545,89.98588221,29.39144931,27.5805728,1575.0098315578605,1701.6786570743402,1489.4690377256147,1543.66543661512,1361.4212300990018,1446.7521730157393,9117.996366087677,-0.013959033975175394,-0.08820036339123216
24/02/16,135.3427172,36.47,22.59176983,90.03305451,30.32876204,27.63544065,1611.7768214360494,1749.1606714628297,1510.9093202404579,1544.474655209051,1404.8378522738699,1449.6302924004174,9270.789613022675,0.0167573270267225,-0.07292103869773237
25/02/16,136.0903698,36.74,22.79920679,90.24061264,30.9121914,27.6908073,1620.680507988948,1762.1103117505993,1524.7824447714165,1548.035217193894,1431.862484798433,1452.5345765783043,9340.005543081596,0.007466023170420444,-0.06599944569184024
26/02/16,131.6572295,37.49,22.79920679,89.91984099,30.50092152,27.69479769,1567.8868820773644,1798.0815347721823,1524.7824447714165,1542.5325305836159,1412.8123338505595,1452.7438943994223,9298.83962045456,-0.0044074837468942585,-0.0701160379545438
29/02/16,131.9650865,38.14,22.4409066,90.11796466,30.29050438,27.55962326,1571.5531065125042,1829.2565947242206,1500.8197760390162,1545.9312488496726,1403.0657453597616,1445.6532548482862,9296.279726333461,-0.00027529178108076646,-0.07037202736665371
01/03/16,132.3960862,39.25,22.86520945,92.1275047,30.80698282,28.88243729,1576.6858195308143,1882.494004796163,1529.196620150551,1580.4039619804157,1426.989190089831,1515.0420991727308,9510.811695720506,0.023077185250713006,-0.04891883042794931
02/03/16,134.3927585,39.16,22.36547498,91.51426478,30.61569451,28.94079673,1600.4639008322838,1878.177458033573,1495.7750036039015,1569.8841199162189,1418.1286550560872,1518.1033715853177,9480.532509027382,-0.0031836595720582395,-0.0519467490972616
03/03/16,133.3460449,39.02,22.57291193,93.23133655,30.14703814,28.8051235,1587.99874013458,1871.462829736211,1509.6481274660728,1599.3396775930428,1396.4203437370516,1510.9865672409726,9475.856285907932,-0.0004932447744888657,-0.05241437140920657
